path	fitness
33,12,15,23,30,24,29,28,32,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,26	24187695.09399281
33,12,15,23,30,24,29,28,26,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,32	24115134.741691872
33,12,15,23,30,24,29,28,26,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,32	24115134.741691872
33,12,15,23,30,24,29,28,26,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,32	24115134.741691872
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,2,8,5,4,6,18,11,10,17,1,19,26	24062007.181622945
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,18,11,10,17,1,19,26	23967060.678251583
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,18,11,10,17,1,19,26	23967060.678251583
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,18,11,10,17,1,19,26	23967060.678251583
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,18,11,10,17,1,19,26	23967060.678251583
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,18,11,10,17,1,19,26	23967060.678251583
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,18,11,10,17,1,19,26	23967060.678251583
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,18,11,10,17,1,19,26	23967060.678251583
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,17,11,10,18,1,19,26	23810304.242573153
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,17,11,10,18,1,19,26	23810304.242573153
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,17,11,10,18,1,19,26	23810304.242573153
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,17,11,10,18,1,19,26	23810304.242573153
33,12,15,23,30,24,29,28,32,25,27,3,13,7,9,22,21,20,31,16,14,0,8,2,5,4,6,17,11,10,18,1,19,26	23810304.242573153
