imdb_id	douban_id	blog_link	title	directors	actors	countries	genres	release_date	watch_date	is_tv	imdb_rating	douban_rating	rating	auto_update	updated_date
tt0374339	1307694	NA	无间道3：终极无间	刘伟强, 麦兆辉	梁朝伟, 刘德华, 黎明	中国大陆, 中国香港	动作, 犯罪, 剧情	2003-12-12	NA	FALSE	6.9	8.1	7	1	2021-04-11
tt0369060	1307106	NA	无间道2	刘伟强, 麦兆辉	陈冠希, 余文乐, 曾志伟	中国香港	动作, 犯罪, 剧情	2003-10-17	NA	FALSE	7.3	8.6	7	1	2021-04-11
tt0338564	1307914	NA	无间道	刘伟强, 麦兆辉	刘德华, 梁朝伟, 黄秋生	中国香港	剧情, 犯罪, 悬疑	2003-09-05	NA	FALSE	8	9.2	8	1	2021-04-11
tt0314353	1307463	NA	太阳泪	安东尼·福奎阿	布鲁斯·威利斯, 莫妮卡·贝鲁奇, 科尔·豪瑟	美国	动作, 剧情, 惊悚	2003-03-07	NA	FALSE	6.6	7.3	7	1	2021-04-11
tt0348568	1304073	NA	假如爱有天意	郭在容	孙艺珍, 曹承佑, 赵寅成	韩国	剧情, 爱情	2003-01-30	NA	FALSE	7.8	8.4	9	1	2021-04-11
tt0295297	1296996	NA	哈利·波特与密室	克里斯·哥伦布	丹尼尔·雷德克里夫, 艾玛·沃森, 鲁伯特·格林特	美国, 英国, 德国	奇幻, 冒险	2003-01-24	NA	FALSE	7.4	8.7	8	1	2021-04-11
tt0120755	1298525	NA	碟中谍2	吴宇森	汤姆·克鲁斯, 多格雷·斯科特, 坦迪·牛顿	美国, 德国	动作, 惊悚, 冒险	2002-11-28	NA	FALSE	6.1	7.2	7	1	2021-04-11
tt0258463	1304102	NA	谍影重重	道格·里曼	马特·达蒙, 弗朗卡·波滕特, 克里斯·库珀	美国, 德国, 捷克	动作, 悬疑, 惊悚	2002-11-21	NA	FALSE	7.9	8.6	7	1	2021-04-11
tt0293662	1303139	NA	玩命快递	路易斯·莱特里尔, 元奎	杰森·斯坦森, 舒淇, 弗朗索瓦·贝莱昂	法国, 美国	动作, 犯罪	2002-10-11	NA	FALSE	6.8	7.3	7	1	2021-04-11
tt0245562	1295120	NA	风语者	吴宇森	尼古拉斯·凯奇, 亚当·比奇, 彼得·斯特曼	美国	动作, 历史, 战争	2002-06-14	NA	FALSE	6.1	7.6	8	1	2021-04-11
tt0268380	1291578	NA	冰川时代	卡洛斯·沙尔丹哈, 克里斯·韦奇	雷·罗马诺, 约翰·雷吉扎莫, 丹尼斯·利瑞	美国	喜剧, 动画, 冒险	2002-03-15	NA	FALSE	7.5	8.6	7	1	2021-04-11
tt0241527	1295038	NA	哈利·波特与魔法石	克里斯·哥伦布	丹尼尔·雷德克里夫, 艾玛·沃森, 鲁伯特·格林特	美国, 英国	奇幻, 冒险	2002-01-26	NA	FALSE	7.6	9.1	8	1	2021-04-11
tt0265086	1291824	NA	黑鹰坠落	雷德利·斯科特	乔什·哈奈特, 伊万·麦克格雷格, 汤姆·塞兹摩尔	美国, 英国	动作, 历史, 战争	2001-12-18	NA	FALSE	7.7	8.7	8	1	2021-04-11
tt0268978	1306029	NA	美丽心灵	朗·霍华德	罗素·克劳, 艾德·哈里斯, 詹妮弗·康纳利	美国	传记, 剧情	2001-12-13	NA	FALSE	8.2	9	8	1	2021-04-11
tt0277027	1306861	NA	我是山姆	杰茜·尼尔森	西恩·潘, 达科塔·范宁, 米歇尔·菲佛	美国	剧情, 家庭	2001-12-03	NA	FALSE	7.7	8.9	8	1	2021-04-11
tt0185906	1307847	NA	兄弟连	大卫·弗兰科尔, 米凯尔·萨洛门, 汤姆·汉克斯, 大卫·李兰特, 理查德·隆克瑞恩, 大卫·努特尔, 菲尔·奥尔登·罗宾森, 托尼·杜	戴米恩·路易斯, 唐尼·沃尔伯格, 朗·里维斯顿, 马修·塞特尔, 里克·沃登, 弗兰克·约翰·休斯, 大卫·休默, 迈克尔·库立兹, 斯科特·格瑞恩斯, 施恩·泰勒, 彼德·杨波拉德·希尔斯, 德克斯特·弗莱彻, 菲利普·巴兰蒂尼, 里克·高莫兹, 尼尔·麦克唐纳, 迈克尔·法斯宾德, 艾恩·贝利, 科林·汉克斯, 汤姆·哈迪, 杰森·奥玛拉, 西蒙·佩吉, 多米尼克·库珀, 吉米·法伦, 詹姆斯·麦卡沃伊, 安德鲁·斯科特	美国, 英国	剧情, 动作, 历史	2001-09-09	NA	TRUE	9.4	9.6	10	1	2023-01-08
tt0213149	1302987	NA	珍珠港	迈克尔·贝	本·阿弗莱克, 乔什·哈奈特, 凯特·贝金赛尔	美国	剧情, 历史, 爱情	2001-08-10	NA	FALSE	6.2	8	8	1	2021-04-11
tt0293715	1292286	NA	我的野蛮女友	郭在容	全智贤, 车太贤, 金仁文	韩国	剧情, 喜剧, 爱情	2001-07-27	NA	FALSE	8	8.2	7	1	2021-04-11
tt0211915	1292215	NA	天使爱美丽	让-皮埃尔·热内	奥黛丽·塔图, 马修·卡索维茨, 吕菲斯	法国, 德国	剧情, 喜剧, 爱情	2001-04-25	NA	FALSE	8.3	8.7	7	1	2021-04-11
tt0260991	1306664	NA	共同警备区	朴赞郁	李英爱, 李秉宪, 宋康昊	韩国	剧情	2000-09-09	NA	FALSE	7.8	8.8	9	1	2021-04-11
tt0137523	1292000	NA	搏击俱乐部	大卫·芬奇	爱德华·诺顿, 布拉德·皮特, 海伦娜·伯翰·卡特	美国, 德国, 意大利	剧情, 动作, 悬疑	1999-09-10	NA	FALSE	8.8	9	9	1	2021-04-11
tt0120863	1292781	NA	细细的红线	泰伦斯·马力克	西恩·潘, 伊莱亚斯·科泰斯, 吉姆·卡维泽	美国, 澳大利亚	剧情, 战争	1998-12-23	NA	FALSE	7.6	7.8	8	1	2021-04-11
tt0120815	1292849	NA	拯救大兵瑞恩	史蒂文·斯皮尔伯格	汤姆·汉克斯, 汤姆·塞兹摩尔, 爱德华·伯恩斯	美国	剧情, 战争	1998-11-13	NA	FALSE	8.6	9	9	1	2021-04-11
tt0120338	1292722	NA	泰坦尼克号	詹姆斯·卡梅隆	莱昂纳多·迪卡普里奥, 凯特·温丝莱特, 比利·赞恩	美国, 墨西哥, 澳大利亚, 加拿大	剧情, 爱情, 灾难	1998-04-03	NA	FALSE	7.8	9.4	9	1	2021-04-11
tt0119094	1292659	NA	变脸	吴宇森	约翰·特拉沃尔塔, 尼古拉斯·凯奇, 琼·艾伦	美国	动作, 科幻, 犯罪	1997-06-27	NA	FALSE	7.2	8.5	7	1	2021-04-11
tt0117060	1292484	NA	碟中谍	布莱恩·德·帕尔玛	汤姆·克鲁斯, 强·沃特, 艾曼纽·贝阿	美国	动作, 冒险, 惊悚	1996-05-22	NA	FALSE	7.2	8.2	7	1	2021-04-11
tt0114369	1292223	NA	七宗罪	大卫·芬奇	摩根·弗里曼, 布拉德·皮特, 凯文·史派西	美国	剧情, 犯罪, 悬疑	1995-09-22	NA	FALSE	8.6	8.8	8	1	2021-04-11
tt0110413	1295644	NA	这个杀手不太冷	吕克·贝松	让·雷诺, 娜塔莉·波特曼, 加里·奥德曼	法国, 美国	剧情, 动作, 犯罪	1994-09-14	NA	FALSE	8.5	9.4	8	1	2021-04-11
tt0111161	1292052	NA	肖申克的救赎	弗兰克·德拉邦特	蒂姆·罗宾斯, 摩根·弗里曼, 鲍勃·冈顿	美国	犯罪, 剧情	1994-09-10	NA	FALSE	9.3	9.7	8	1	2021-04-11
tt0109830	1292720	NA	阿甘正传	罗伯特·泽米吉斯	汤姆·汉克斯, 罗宾·怀特, 加里·西尼斯	美国	剧情, 爱情	1994-06-23	NA	FALSE	8.8	9.5	8	1	2021-04-11
tt0106559	1303394	NA	青蛇	徐克	张曼玉, 王祖贤, 赵文卓	中国香港, 中国大陆	剧情, 爱情, 奇幻	1993-11-04	NA	FALSE	7.2	8.6	7	1	2021-04-11
tt0108289	1306249	NA	唐伯虎点秋香	李力持	周星驰, 巩俐, 陈百祥	中国香港	喜剧, 爱情, 古装	1993-07-01	NA	FALSE	7.6	8.7	7	1	2021-04-11
tt0092067	1291583	NA	天空之城	宫崎骏	田中真弓, 横泽启子, 初井言荣	日本	动画, 奇幻, 冒险	1992-05-01	NA	FALSE	8	9.1	8	1	2021-04-11
tt0101640	1293323	NA	大红灯笼高高挂	张艺谋	巩俐, 马精武, 何赛飞	中国大陆, 中国香港, 中国台湾	剧情	1991-09-10	NA	FALSE	8.1	8.6	7	1	2021-04-11
tt0099487	1292370	NA	剪刀手爱德华	蒂姆·波顿	约翰尼·德普, 薇诺娜·瑞德, 黛安·韦斯特	美国	剧情, 奇幻, 爱情	1990-12-06	NA	FALSE	7.9	8.7	7	1	2021-04-11
tt0093206	1306505	NA	红高粱	张艺谋	姜文,巩俐,滕汝骏,钱明,陈志刚,计春华	中国大陆	剧情,爱情,历史,战争	1988-10-10	NA	FALSE	7.5	8.2	7	0	2018-10-16
tt0095956	1300399	NA	第一滴血3	彼得·麦克唐纳德	西尔维斯特·史泰龙, 理查德·克里纳, 马克.德.容	美国	动作, 冒险	1988-05-25	NA	FALSE	5.8	7.6	7	1	2021-04-11
tt0092099	1293799	NA	壮志凌云	托尼·斯科特	汤姆·克鲁斯, 凯莉·麦吉利斯, 方·基默	美国	动作	1986-05-16	NA	FALSE	6.9	7.7	8	1	2021-04-11
tt0089880	1300361	NA	第一滴血2	乔治·P·科斯马图斯	西尔维斯特·史泰龙, 理查德·克里纳, 史蒂文·伯克夫	美国	动作, 冒险, 惊悚	1985-05-22	NA	FALSE	6.5	7.8	7	1	2021-04-11
tt0083944	1294323	NA	第一滴血	特德·科特切夫	西尔维斯特·史泰龙, 理查德·克里纳, 布莱恩·丹内利	美国	剧情, 动作, 冒险	1982-10-22	NA	FALSE	7.7	8.3	7	1	2021-04-11
tt0059742	1294408	NA	音乐之声	罗伯特·怀斯	朱莉·安德鲁斯, 克里斯托弗·普卢默, 埃琳诺·帕克	美国	剧情, 传记, 爱情	1965-03-02	NA	FALSE	8	9.1	8	1	2021-04-11
