isbn	douban_id	blog_link	title_zh	subtitle_zh	title	author	publisher	published_date	pages	purchasing_date	begin_reading_date	finish_reading_date	douban_rating	rating	auto_update	show	updated_date
9787530214756	26995855	NA	万水千山走遍	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	256	2019-06-01	NA	NA	8.3	NA	1	1	2020-01-24
9787530214800	26997078	NA	梦里花落知多少	NA	NA	三毛	北京十月文艺出版社	2017-3	320	2019-06-01	NA	NA	8.6	NA	1	1	2020-01-24
9787530214770	26997095	NA	温柔的夜	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	264	2019-06-01	NA	NA	8.9	NA	1	1	2020-01-24
9787530214831	26995854	NA	稻草人手记	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	224	2019-06-01	NA	NA	8.6	NA	1	1	2020-01-24
9787530214787	26997048	NA	撒哈拉的故事	NA	NA	三毛	北京十月文艺出版社	2017-3-1	298	2019-06-01	NA	NA	9.1	NA	1	1	2020-01-24
9787114151606	30437364	NA	《流浪地球》电影制作手记	电影制作手记	NA	朔方	人民交通出版社股份有限公司	2019-3	352	2019-02-28	2019-03-06	2019-03-18	8.2	6	1	1	2020-01-24
9787536493759	30443982	NA	流浪地球	刘慈欣短篇小说精选	NA	刘慈欣	四川科学技术出版社	2018-11	NA	2019-02-27	NA	NA	8.2	NA	1	1	2020-01-24
9787508694498	30309613	NA	自私的基因	40周年增订版	The Extended Selfish Gene	[英] 理查德·道金斯	中信出版集团	2018-11-1	496	2019-02-25	NA	NA	8.3	NA	1	1	2020-01-24
9787532153626	25903621	NA	写作这回事	创作生涯回忆录	on writing-A Memoir of the Craft	[英] 斯蒂芬·金 / [美] 斯蒂芬·金	上海文艺出版社	2014-10-15	271	2019-02-25	NA	NA	8.9	NA	1	1	2020-01-24
9787540489304	30415402	/cn/2019/03/browser-tabs-you-do-not-close	断舍离（2019年新版）	NA	NA	[日]山下英子	湖南文艺出版社	2019-1-10	240	2019-02-14	2019-02-16	2019-03-03	7.2	7	1	1	2020-01-24
9787302498872	30176572	NA	大问题（第10版）	简明哲学导论	The Big Questions: A Short Introduction to Philosophy 10th Edition	[美]罗伯特·所罗门 / [美]凯思林·希金斯	清华大学出版社	2018-7	462	2019-02-14	NA	NA	9.2	NA	1	1	2020-01-24
9787115433749	26884023	NA	统计会犯错	如何避免数据分析中的统计陷阱	Statistics Done Wrong: The Woefully Complete Guide	[美] Alex Reinhart	人民邮电出版社	2016-9-1	187	2019-02-14	NA	NA	7.7	NA	1	1	2020-01-24
9787040368932	21346605	NA	数学之英文写作	NA	NA	汤涛 / 丁玖	高等教育出版社	2013-4	296	2019-01-22	NA	NA	8.8	NA	1	1	2020-01-24
9787559617613	30170099	NA	如何看懂艺术	伟大艺术品背后的故事	NA	翁昕	未读·艺术家·北京联合出版公司	2018-4	246	2018-12-27	NA	NA	8.4	NA	1	1	2020-01-24
